word_id,word,up_votes,down_votes,author,definition
7547447,toxoplasmosis,4,0,aba060af,Flu-like cat shit disease
7582095,she cat,2,0,fbf5825d,A female cat
7582105,Tom cat,23,4,fbf5825d,Male cat
7585430,meowlo,3,1,f6eff94c,A cat that says yolo.
7640662,Gericatric,1,0,c69f3556,An elderly cat
7722362,Pussy,14,11,46c2063b,It's a cat you fucking pervs!
7727397,casthma,1,0,4eae281b,Cat asthma
7737981,Diddle,1,6,dd90199b,The fat on a cat's belly.
7742841,catspamming,0,0,ebe6013a,spamming the internet with cat pictures
7760185,jurre,16,1,2060f2fc,A Dutch man who enjoys cats.
7803624,Shandor,2,1,b98d745c,A cat licking man beast.
7803952,ccttm,0,0,feeb8fc9,copy cat to the max
7842070,Pussy,7,1,7a93364e,A slang term for a cat.
7844955,old one brown eye,0,0,224dad17,the butthole of a cat
7873579,Pussy,12,3,ef25f655,A cat
7874978,01100011 01100001 01110100,17,1,ddb2dcbb,Binary for [cat].
7906142,wet pussy,185,182,855d42b,A punished cat
7921144,cattire,88,0,d2d4085a,"Or, 'cat-tire'. Clothing/accessories containing cats."
7932344,Pussy,0,2,224d0814,Canadian for kitten or Cat
7932346,Pussy,1,1,224d0814,Canadian for kitten or Cat
7947970,Uncatted,0,0,f90fd406,Without a cat.
7971493,farres,8,3,4beffbd0,A cats ass
8000574,Scrotum Cat,1,0,d74ab6b9,another name for the [Sphynx] cats
8045259,Meowfie,3,1,4db7fb03,Taking a selfie with a cat
8052162,Gumball,15,15,f761878f,A blue cat.
8112359,kittyclops,1,0,f543198c,a one eyed cat.
8196512,Felinophobia,0,0,8486e7a2,Irrational fear of cats in particular
8210724,koala,3,1,c27fc86d,heavy tree cats
8235009,Niptonite,0,0,35898234,Cat's kryptonite.
8245347,meowtain,1,0,2e8ba169,A pile of cats.
8274467,dumply,0,0,328c85ea,A cat who eats dogs
8283315,Bambu,1,0,a2b1bd6c,A high class cat
8283316,Bambu,1,0,a2b1bd6c,A high class cat
8295372,ranga,2,1,670ccc38,A very fuzzy puddy cat
8297625,Cats,2,1,817d202,Cats are the best animals ever
8307209,Rusty Purrbox,0,0,f96cc9ee,"(N.) An old, happy cat."
8323030,pussy cat,10,7,d749c4d8,a cat
8344846,String,8,5,a9740ac8,A cats weakness
8382124,Pussy,1,2,8d147896,A alternate word for a cat.
8386066,cat selfie,5,1,c4287de8,A selfie taken with your cat
8417896,Anti-vaxxer,13,7,5364f9ba,See crazy cat lady
8535574,Pussy,1,1,c7e21baa,a cat
8535994,meow,1,0,69817ea,What a kitten or cat says
8588314,meowntain,1,0,27c11e61,A pile of kittens and/or cats.
8642587,mewber,0,0,f016399f,Uber for cats
8643741,zsmiff,0,0,ce493b89,The raper of cats
8803799,Monsieur Fluff,0,0,c7c77cb1,Something to call a cat.
8853870,kitten caboodle,0,0,d32a58c9,Cat orgy
8889606,cat fag,0,0,3c0467e4,Someone who really really loves cats.
8978251,MEOW,0,0,b49d3a23,A sound that a cat makes
8978254,MEOW,0,0,b49d3a23,A sound cats make
8978256,MEOW,0,0,b49d3a23,A sound cats make
8990889,Whiskas,0,0,a7b9c77c,A name given to awesome cats!
